"co2level","Date","GPP","Precipitation","Tair","Tem_soil_surface","Tem_soil_0_10cm","Tem_soil_10_20cm","Tem_soil_20_30cm","Tem_soil_30_40cm","Tem_soil_40_50cm","Tem_soil_50_60cm","Tem_soil_60_70cm","Tem_soil_70_80cm","Tem_soil_80_90cm","Tem_soil_90_100cm","Water_soil_0_10cm","Water_soil_10_20cm","Water_soil_20_30cm","Water_soil_30_40cm","Water_soil_40_50cm","Water_soil_50_60cm","Water_soil_60_70cm","Water_soil_70_80cm","Water_soil_80_90cm","Water_soil_90_100cm"
"CO2: 400 ppm",2015-06-10,3.6129,0,17.66625,9.02166666666667,4.92666666666667,2.03958333333333,0.174583333333333,-0.35375,-0.104583333333333,0.420416666666667,0.945416666666667,1.38708333333333,1.74,2.09333333333333,0.9525375,0.940245833333333,0.943704166666667,0.946045833333333,0.947608333333333,0.948629166666667,0.949266666666667,0.949670833333333,0.9499,0.95
"CO2: 400 ppm",2015-06-11,4.4519,0,18.4695833333333,9.10791666666667,5.05416666666667,2.19125,0.255416666666667,-0.332083333333333,-0.0883333333333333,0.4275,0.942916666666667,1.37708333333333,1.725,2.07458333333333,0.952583333333333,0.939225,0.943129166666667,0.945729166666667,0.947441666666667,0.94855,0.949245833333333,0.949645833333333,0.9499,0.95
"CO2: 400 ppm",2015-06-12,4.8449,0,19.71375,9.74625,5.43333333333333,2.42833333333333,0.372083333333333,-0.289583333333333,-0.06,0.442083333333333,0.940833333333333,1.36791666666667,1.7125,2.05833333333333,0.952591666666667,0.939095833333333,0.9430125,0.94565,0.947404166666667,0.9485375,0.949216666666667,0.949625,0.9499,0.95
"CO2: 400 ppm",2015-06-13,4.4755,0,18.7345833333333,9.9575,5.76291666666667,2.735,0.547083333333333,-0.197916666666667,0.00958333333333333,0.4925,0.974583333333333,1.38791666666667,1.73125,2.07416666666667,0.952491666666667,0.938675,0.94275,0.9455125,0.947329166666667,0.948483333333333,0.9492,0.949604166666667,0.9499,0.95
"CO2: 400 ppm",2015-06-14,3.6222,3,16.74125,9.67458333333333,5.96166666666667,3.05166666666667,0.79875,-0.03125,0.13,0.58375,1.0375,1.43625,1.77541666666667,2.11583333333333,0.952725,0.938995833333333,0.942858333333333,0.945529166666667,0.947320833333333,0.948495833333333,0.9492,0.9496,0.9499,0.95
"CO2: 400 ppm",2015-06-15,3.3079,0.1,15.16375,8.90166666666667,5.85375,3.37291666666667,1.31958333333333,0.387916666666667,0.390416666666667,0.763333333333333,1.13625,1.49125,1.82458333333333,2.16208333333333,0.952491666666667,0.939070833333333,0.9428875,0.94555,0.947333333333333,0.9484875,0.9492125,0.949616666666667,0.9499,0.95
"CO2: 400 ppm",2015-06-16,2.2649,0.2,12.9675,8.10958333333333,5.60916666666667,3.5625,1.7475,0.8275,0.690833333333333,0.960416666666667,1.23,1.53,1.86166666666667,2.19375,0.9526125,0.9385,0.942575,0.945358333333333,0.947229166666667,0.9484375,0.9492,0.9496,0.9499,0.95
"CO2: 400 ppm",2015-06-17,3.8422,0,16.6708333333333,9.41875,6.0575,3.83041666666667,2.02666666666667,1.0575,0.892083333333333,1.07375,1.25458333333333,1.50583333333333,1.82541666666667,2.14541666666667,0.952570833333333,0.938845833333333,0.942725,0.945425,0.9472625,0.94845,0.9492,0.9496,0.949895833333333,0.95
"CO2: 400 ppm",2015-06-18,3.0568,0,15.37375,9.5675,6.48125,4.26041666666667,2.42291666666667,1.38708333333333,1.15625,1.26958333333333,1.38208333333333,1.59083333333333,1.89666666666667,2.2,0.952425,0.938066666666667,0.942308333333333,0.945208333333333,0.9471375,0.948395833333333,0.949154166666667,0.9496,0.949854166666667,0.95
"CO2: 400 ppm",2015-06-19,3.5422,0,16.6233333333333,9.36125,6.50125,4.54541666666667,2.85583333333333,1.77,1.44041666666667,1.45541666666667,1.47,1.62416666666667,1.91625,2.20875,0.952479166666667,0.937241666666667,0.9418125,0.9449125,0.946983333333333,0.948291666666667,0.9491,0.9496,0.9498,0.95
"CO2: 400 ppm",2015-06-20,3.2106,3.5,18.8866666666667,10.80625,7.31916666666667,5.12,3.405,2.28083333333333,1.7625,1.66166666666667,1.56291666666667,1.64875,1.92375,2.19666666666667,0.952729166666667,0.9385625,0.942445833333333,0.945216666666667,0.9471125,0.948370833333333,0.949116666666667,0.9496,0.949804166666667,0.95
"CO2: 400 ppm",2015-06-21,4.5923,0,18.5125,11.0529166666667,7.77,5.67375,3.985,2.79541666666667,2.13041666666667,1.91,1.68916666666667,1.70833333333333,1.96791666666667,2.22666666666667,0.952508333333333,0.93885,0.942645833333333,0.945325,0.947175,0.9483875,0.949154166666667,0.9496,0.94985,0.95
